crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Apr 18, 2026 @ 21:39:58.479",033469afb6d429a73d1816b6b8abe84b,https://www.businessoffashion.com/news/luxury/susie-cave-to-launch-appointment-only-storefront-in-london/,Susie Cave to Launch Appointment-Only Storefront in London,"Two years after shuttering her brand The Vampire’s Wife, the designer will open a demi-couture boutique in Kensington.", Austin Kim,2026-04-17T19:24:06.725Z,"The Vampire’s Wife designer and model Susie Cave will open a London store called Susie Cave, Weddings and Funerals, announced Friday.",https://img.businessoffashion.com/resizer/v2/7Q6N35QEKFE73KYQN37JGX74QI.jpg?smart=true&auth=cd5eeb18a9a0c5645fea0b3e767faa37fc3219544f058a4b9b5315d1733b19b8&width=1200&height=630
"Apr 18, 2026 @ 21:39:58.491",591a49d8c9b8ed5735be829d89e9d9a6,https://www.businessoffashion.com/articles/beauty/pat-mcgrath-labs-bankruptcy-exit/,,,,,,
"Apr 18, 2026 @ 21:39:58.492",c0053a2e53e38805cfd256852ca1c9b7,https://www.businessoffashion.com/news/beauty/qvc-shopping-files-for-bankruptcy/,,,,,,
"Apr 18, 2026 @ 21:39:58.487",6c25be56e70a89497fb848b0eef02645,https://www.businessoffashion.com/articles/marketing-pr/bof-insights-brand-pulse-ai-brand-performance-tracker-gap-marketing/,Can Gap Keep Up Its Hot Streak?,"Gap’s brand strategy is leading on culture but trailing on the fundamentals that endure beyond marketing moments, according to the latest analysis by BoF Insights.",Michelle Wiles,2026-04-17T04:30:00Z,"Gap is on a roll. In the last year, the brand has released hit campaign after hit campaign, such as a viral ad with K-Pop group Katseye, a spring campaign starring actor Parker Posey — timed perfectly with her White Lotus starring role — and a string of collaborations with buzzy labels such Sandy Liang, Cult Gaia, Beis and MadHappy that put Gap at the centre of the cultural conversation.

Creative director Zac Posen has also brought Gap into Hollywood’s orbit, dressing stars from Timothée Chalamet to Anne Hathaway in the elevated GapStudio line. That momentum started showing up in the numbers: Gap Inc swung from losses in 2022 to net income of $844 million in fiscal year 2024, and the namesake Gap brand led recent results, with 2025 fourth quarter sales up 8 percent.

Behind the scenes, the turnaround runs deeper than marketing. The company eliminated $100 million in costs in 2024, and targeted an additional $150 million in 2025 across technology, marketing, operating costs and stores, while also diversifying sourcing away from China, driving Gap’s highest gross margins in 25 years.



The results show up in BoF Insights’ Brand Pulse tracker as well, which measures fashion brand performance along five metrics including discoverability, value perception and love. Gap leads performance among the high street brands assessed in 2025, driven by strong scores in value perception and customer love for the brand.



But creating brand heat is not the same as sustaining it. The question is, can Gap keep it up?

BoF Insights used our proprietary AI-brand research tools developed in partnership with Quilt.AI to understand what Gap needs to do to keep the momentum going.

Leading the conversation

We analysed the social media conversation around Gap and four competitors — Uniqlo, Zara, Abercrombie and Fitch and J.Crew — assessing and clustering 2,700 posts on TikTok and Instagram to understand what customers say when they talk about these brands, and how each brand shows up.

BoF Insights runs this analysis for brands at inflection points to map where they lead, where they are exposed, and which audiences competitors are quietly winning.

We found that four topics drive 86 percent of the conversation:



Nearly half of the online conversation about Gap, 41 percent, is around Brand Renaissance. This could be a good thing: Gap’s brand turnaround is a positive story. But it also means that Gap is less present in other conversations like Chasing the Staple, which is an important commercial objective for moving products.

Despite its reputation for basics, Gap appears in only 17 percent of this conversation. Competitor Uniqlo leads here. Abercrombie and Fitch owns the positive conversation around Fit and Size, thanks in part to its size-inclusive product lines such as Curve Love denim. J.Crew leads the conversation on Materials and Craft.



Who are Gap’s customers?

We next analysed the people engaging in these social media conversations to build out a psychographic segmentation of Gap and its competitors’ audiences.

Our AI Segmentation revealed six broad segments, three of which account for 70 percent of the audience:



The picture that emerges from the segmentation analysis is telling. Gap appears more than its competitors in posts by the culture-forward Fashion Conversant talking about Gap’s impressive reinvention. Gap appears less frequently in posts by the Garment Literate.



We then blended this customer segmentation with conversation analysis to understand why each brand resonates with its segments.

Zara leads with the Seasonal Refresher (in other words, the heavy shopper) due to the brand’s quick trend turnaround. Abercrombie and Fitch is also referenced regularly by this segment, but Seasonal Refreshers talk about Abercrombie in regards to its reputation for great fit and inclusive sizing. When these shoppers bring up Gap, they focus on reliable staples like jeans and sweatshirts.

Uniqlo and J.Crew are both popular with the Garment Literate customer, who talks about Uniqlo’s proprietary fabrics like Heat Tech and J.Crew’s construction and materials.

Gap’s edge is with the culture crowd, likely a result of its campaigns driving high engagement with the trend-forward audience.



The problem with being the comeback kid

Gap is exactly where a brand investing in cultural renaissance wants to be: engaging the culture-forward consumer with viral campaigns and driving conversations around its own comeback. But this narrative does not have longevity. And notably, that the brand currently lacks a positioning beyond “culturally relevant.”

Our conversation and segmentation analysis reveal that Gap’s competitors are anchored in more durable and defensible brand positioning: Zara owns trends; Abercrombie owns fit. Uniqlo, fabrics. Gap’s positioning as the culture-forward brand is resonant, but its continued success will depend on its ability to keep launching culturally viral campaigns. That is a tall order for any brand marketing team.

A significant portion of Gap’s conversation (41 percent) is wrapped around Gap’s comeback. A brand renaissance is, by definition, a temporary story. Once that conversation fades (as it did with Abercrombie just a couple of years ago) Gap will need another pillar to drive conversation, or else the brand will fade with it.

It is also worth noting what is not registering in Gap’s conversation. Gap launched its own fabric innovation, a cotton-nylon-acrylic blend called CashSoft, as part of its elevation strategy. CashSoft barely comes up in our analysis. Gap’s appointment of Zac Posen as chief creative officer has driven cultural relevance via celebrity tie-ups, but Posen’s presence has yet to build Gap’s credibility in craft and materials.

The fix isn’t complicated

Gap’s comeback story likely has another 12 to 18 months before it becomes old news and another brand’s turnaround comes into the limelight. Gap’s job is simple: Cement a more durable brand story before that clock runs out.

The good news? Between its CashSoft innovation and Zac Posen, Gap already has the ingredients to differentiate itself.

If Gap can bring its product into storytelling, it can build credibility as a brand for quality staples. Gap has already built a marketing organisation capable of driving culture. Why not bring these together, and make CashSoft a cultural story, not just a product?

Second, give Zac Posen another job. He’s done extraordinary work on tapping the right celebrities at the most talked-about events. But Posen’s history as a luxury designer is currently underleveraged. Posen can be the spokesperson for Gap’s craft voice: the person who explains why the fabric, the fit and the construction of Gap products are different from everything else at its price point.

Neither of these requires heavy investment, but they do require Gap to trade on the cultural heat it has already built and lay a foundation that lasts.

Gap owns the moment. The question is what comes after it.

How BoF Insights builds brand strategy with AI

BoF Insights is The Business of Fashion‘s in-house data and advisory team. Our AI brand research roots strategy in real-time consumer behaviour: what people actually talk about, who is saying it and which brands are winning the conversation.

For Gap, that meant analysing thousands of posts compared with four competitors, surfacing a vulnerability the numbers alone would not show. We do the same for brands navigating their own inflection points: a new launch, a repositioning, a competitive threat, a category expansion.

If you want to know what your brand’s version of this looks like — where you lead, where you are trailing, and which audiences your competitors are winning, contact us for a conversation.

How BoF Insights Tracks Brand Performance with Brand Pulse

BoF Insights Brand Pulse is a brand performance tracker designed for the fashion industry. The tool measures discoverability, identity, value perception, connection, and love, monitoring performance over time to gauge progress, and helping brand leaders understand not just what is happening, but why.",https://img.businessoffashion.com/resizer/v2/AM3S3HZMXBELTJQBF4HX3Y5PMM.jpg?smart=true&auth=4bfad4300830eea76b8e5de76a8d0f9d0be8f5d76b59b28f11cda9d958ee9773&width=1200&height=630
"Apr 18, 2026 @ 21:39:58.497",cbb8cb09ac24d6aa4d416ea824f7e51c,https://www.businessoffashion.com/articles/marketing-pr/how-ai-agents-are-reshaping-fashion-ad-economy/,How AI Shopping Agents Are Reshaping Fashion’s Ad Economy,"As AI agents begin to shop on consumers’ behalf, they can inadvertently trigger online ads, distorting performance metrics and inflating brands’ ad spend.",Haley Crawford,2026-04-17T04:30:00Z,"The next web user to trigger your brand’s ad might not be human. Please sign in to ensure you can read our agenda-setting intelligence, analysis and advice.
Or get in touch at if you experience difficulties. Making sure AI agents can seamlessly buy your products takes more than cleaning up product data and then sitting back and waiting for them to find you. BoF breaks down what brands need to know. A growing AI backlash, the advance of autonomous agents and new laws banning children and some teenagers from social media are just a sample of what this year has in store for fashion’s intersection with technology. The next big thing in AI is agents that can perform complex tasks on a user’s behalf, and companies from Amazon to AI player Perplexity believe they could reshape the way consumers find and buy products online. Gap’s brand strategy is leading on culture but trailing on the fundamentals that endure beyond marketing moments, according to the latest analysis by BoF Insights. Top spenders on the influencer platform’s app will be able to have their style questions answered by creators, a service ShopMy hopes will serve as an antidote to AI product recommendations. The mixed response to luxury’s experiments with AI imagery is linked to a deeper question: Is the new technology expanding creative possibilities or undermining the sector’s promise of human artistry? Watch on demand a BoF Professional Masterclass on “The Fashion Marketer’s Guide to AI” which unpacks how marketers can adapt to utilise AI and build lifetime value in this approach. A US bankruptcy judge said on Friday she would approve the cosmetic brand’s restructure, which sees new owner GDA Luma assuming control of the new company. From handbag spotting to hyperscalers, Imran Amed reports from Semafor World Economy on the two subjects consuming the world's most powerful CEOs and policy leaders — and what they mean for fashion. Two years after shuttering her brand The Vampire’s Wife, the designer will open a demi-couture boutique in Kensington. A set of underwhelming first-quarter revenues from French luxury groups LVMH, Kering and Hermès is challenging hopes for a sector recovery this year.",https://img.businessoffashion.com/resizer/v2/OKMR4SYCWZASHASEJKPY527IDM.jpg?smart=true&auth=3804612bd4c5017d92f0ca6e6dcbbd38ab5e3de53e885171b4be0a7dfae6a52f&width=1200&height=630
"Apr 18, 2026 @ 21:39:58.483",785c838f88b67c60e115b7338ee0f5b5,https://www.businessoffashion.com/articles/beauty/davines-hair-care-relaunch-sustainability/,When the Supply Chain Becomes the Story,"In an industry plagued by greenwashing and waning consumer interest in environmental impact, legacy brand Davines is betting on sustainability as lifestyle branding.",Rachael Griffiths,2026-04-17T12:00:00Z,"Welcome to Haul of Fame, your weekly roundup tracking the new products and ideas driving the beauty industry forward.",https://img.businessoffashion.com/resizer/v2/R5YMZDYI5BENTDDMDIGMMDNVEA.jpg?smart=true&auth=f52fce07b1461728b9e8dd5ea8a9f04e7d4ed4ec0c6c79fb68d3cc5f20cbbadf&width=1200&height=630
"Apr 18, 2026 @ 21:39:58.582",08e3112082423aa7ef4f24a8d6c07c60,https://www.businessoffashion.com/news/beauty/elf-beauty-makes-c-suite-changes/,E.l.f. Beauty Makes C-Suite Changes,"Kory Marchisotto has been appointed president of E.l.f. Brands, Ekta Chopra has been tapped as chief technology and AI officer and Oshiya Savur is the company’s new CMO.",Jessica Kwon,2026-04-16T21:50:22.777Z,"E.l.f. Beauty announced on Thursday the appointment of Kory Marchisotto, longtime E.l.f. Beauty chief marketing officer and Keys Soulcare president, to the newly created role of president of E.l.f. Brands.",https://img.businessoffashion.com/resizer/v2/L7T4O4LZ3JA7JBFRISRNK5PSW4.png?smart=true&auth=038eef5ce958152ff12798cd08a7b189a85ce33f13c1b4e2c6eac005503feb0e&width=1200&height=630
"Apr 18, 2026 @ 21:39:58.594",aa47037c6404b04892d4c005b3fb9208,https://www.businessoffashion.com/news/technology/allbirds-sinks-as-582-ai-surge-comes-to-screeching-halt/,Allbirds Sinks as 582% AI Surge Comes to Screeching Halt,"Shares of the firm, which announced plans to rebrand itself as NewBird AI, sank as much as 31 percent on Thursday.",Bloomberg ,2026-04-16T17:13:05.925Z,Allbirds Inc.’s surprising pivot from wool sneakers to artificial intelligence infrastructure is looking more like a flash in the pan for the stock than a driver of long-term gains.,https://img.businessoffashion.com/resizer/v2/WHPI7NREABGGJNQ2RGC57NZHVY.jpg?smart=true&auth=05dd23c8fdb3d13a38c4d1f44f62455f95481e9396d7a0ca66c1e49fb0683952&width=1200&height=630
"Apr 18, 2026 @ 21:39:58.598",184047bcb0ce88264ec4dd08deb3cf83,https://www.businessoffashion.com/news/technology/allbirds-soars-461-after-sneaker-firm-rebrands-as-ai-stock/,Allbirds Soars 461% After Sneaker Firm Rebrands as AI Stock,"The struggling sneaker company has announced a pivot to AI computing infrastructure, immediately sending its stock soaring.",Bloomberg ,2026-04-15T16:17:06.308Z,"Allbirds Inc., the once-buzzy maker of wool sneakers valued at more than $4 billion in its heyday, announced a new business plan just days before it planned to close down for good: AI computing infrastructure.",https://img.businessoffashion.com/resizer/v2/HT5OQAZHJNG2HBGS34YY5TVNO4.jpg?smart=true&auth=237c010199a01d8ad2607842613574a62af8011f9b660bd75f90bf72385b57e1&width=1200&height=630
"Apr 18, 2026 @ 21:39:58.605",d03331d1eace673fe3e52b921b437aed,https://www.businessoffashion.com/news/beauty/coty-and-interparfums-deny-report-of-talks-regarding-boss-burberry-perfume-licences/,,,,,,
