crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:38:51.277",8fb853608a31243d2cc563fb1f314879,https://www.glossy.co/fashion/fashion-brands-are-capitalizing-on-the-growing-demand-for-cute-stadium-compliant-clear-bags/,Fashion brands are capitalizing on the growing demand for stadium-compliant clear handbags,Fashion brands are starting to release fashion-forward transparent handbags to match the effort fans are putting into their stadium fits.,Danny Parisi,2026-06-30T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/260508_DagneDover_StadiumBags_Concrete_Bennie_0332.jpg?w=3798
"Aug 22, 2026 @ 19:38:51.303",3f041078f1227121782de62e9ff3dec6,https://www.glossy.co/fashion/page/4/,Fashion Archives,"How fashion brands are trading storefronts for temporary pop-ups, no-inventory showrooms, modern markets and exclusive customers experiences.",,,,
"Aug 22, 2026 @ 19:38:51.307",dc8deb63b6fcde3280e90c80af834ada,https://www.glossy.co/fashion/luxury/luxury-briefing-canali-is-betting-on-leisurewear-to-lure-younger-customers/,Luxury Briefing: Canali is betting on leisurewear to lure younger customers,"Canali's incoming creative director, Alessio Lillocci, discusses his plan for the brand, drawing on lessons from his time at Brunello Cucinelli and Prada.",Zofia Zwieglinska,2026-06-26T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/02.Canali_SS27_Presentation-e1782420244798.jpg
"Aug 22, 2026 @ 19:38:51.314",2ef8925dea845ca9d34461d76e6557a1,https://www.glossy.co/fashion/nike-says-it-expects-986-million-in-ieepa-tariff-refunds/,Nike says it expects $986 million in IEEPA tariff refunds,Nike says it's in a better financial position as it awaits nearly $1 billion in refunds related to IEEPA tariffs.,Julia Waldow,2026-07-01T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2024/01/nike-doernbecher-freestyle-xviii-group-v1.jpg?w=9727
"Aug 22, 2026 @ 19:38:51.479",daff727b3aeccaf5739788000b2a591a,https://www.glossy.co/fashion/fashion-briefing-new-ai-tools-and-deeper-creator-collaborations-drive-the-fashion-conversation-at-cannes-lions/,Fashion Briefing: New AI tools and deeper creator collaborations drive the fashion conversation at Cannes Lions,"At Cannes Lions, new AI tools, a focus on cultural collaborations and strategies for further engaging with the creator economy are at the center of the conversation.",Danny Parisi,2026-06-25T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/R5JT0305_bUYhHfRw_20260624022402.jpg?w=5000
"Aug 22, 2026 @ 19:38:51.481",632c5562474238f5406a2507b4a9f912,https://www.glossy.co/fashion/how-fast-retailings-decades-long-relationship-with-suppliers-is-enabling-record-breaking-revenue/,How Fast Retailing's decades-long relationship with suppliers is enabling record-breaking revenue,"Kazumi Yanai, an executive at Fast Retailing, attributed the company's successes to its long, stable relationships with its suppliers.",Danny Parisi,2026-06-29T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/04/IMG_3384.jpeg?w=8256
"Aug 22, 2026 @ 19:38:51.488",33f7cf32bf31065f9644c3965bf632fd,https://www.glossy.co/series/fashion-podcast/,The Glossy Fashion Podcast Archives,Each Glossy Fashion Podcast episode features candid conversations about how today’s trends are shaping the future of the fashion industry.,,,,
"Aug 22, 2026 @ 19:38:51.497",b8adbe4beb4b53c659f1022be585ff94,https://www.glossy.co/podcasts/glossy-podcast-what-defines-american-fashion-today-with-articles-of-interest-host-avery-trufelman/,What defines 'American fashion' today? – with Articles of Interest host Avery Trufelman,"Avery Trufelman, journalist and host of the Articles of Interest podcast, joins the Glossy Podcast to discuss ""American fashion"" in 2026.",Danny Parisi,2026-06-26T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/Portrait-glossy-brand-1140x520-0625.jpg
"Aug 22, 2026 @ 19:38:51.640",1276814dd207f7cfb0987ca96c200a63,https://www.glossy.co/fashion/true-religion-is-using-high-volume-profitable-physical-retail-to-reach-its-1-billion-revenue-goal/,"True Religion is using high-volume, profitable physical retail to reach its $1 billion revenue goal","True Religion announced on Monday it's opening four stores this year, in Indiana, New Jersey and California.",Danny Parisi,2026-06-23T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/Storefront.jpg?w=2700
"Aug 22, 2026 @ 19:38:51.656",23735c73d9db892af692f3156fe0bf48,https://www.glossy.co/fashion/exclusive-claires-turns-its-stores-into-a-creator-commerce-platform-for-gen-alpha-with-lanas-life-launch/,Exclusive: Claire’s turns its stores into a creator-commerce platform for Gen Alpha with Lana's Life launch,"Claire’s is using its Lana Rae partnership to connect Gen Alpha fandom, Roblox and nearly 900 if its physical store",Zofia Zwieglinska,2026-06-25T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/Lanas-Life_Banner.png?w=5760
"Aug 22, 2026 @ 19:38:51.667",62ac88dd6b9ab7913f82ed78d7cc5421,https://www.glossy.co/fashion/poshmark-opens-its-120-million-product-listings-to-the-shazam-of-fashion/,Poshmark opens its 120 million product listings to the Shazam of fashion,Poshmark is expanding its resale inventory beyond its own app through a partnership with visual-shopping platform Silvr.,Zofia Zwieglinska,2026-06-25T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/Screenshot-2026-06-24-at-23.08.12.png
"Aug 22, 2026 @ 19:38:51.706",e85853d51126d901864cedd84eb5827a,https://www.glossy.co/fashion/knix-embarks-on-its-biggest-wholesale-expansion-opening-in-350-target-stores/,"Knix embarks on its biggest wholesale expansion, opening in 350 Target stores","The company is pushing further into wholesale as it launches KT by Knix, its youth-oriented sub-brand, in over 350 Target stores.",Danny Parisi,2026-06-22T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/KT_Target-1.png?w=3840
"Aug 22, 2026 @ 19:38:51.837",25d643b96b6ed3af2a570c812bf12329,https://www.glossy.co/fashion/is-saks-safe-for-brands-again/,Is Saks safe for brands again?,"Saks Global received court approval for its post-bankruptcy restructuring, which would reduce its debt and leave it a more compact company.",Danny Parisi,2026-06-19T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/Portrait-glossy-brand-1140x520-0617.jpg
"Aug 22, 2026 @ 19:38:51.838",e6f1e790d2fff2cc2a367b6db615c43c,https://www.glossy.co/series/pop-newsletter/,Glossy Pop Newsletter Archives,,,,,
"Aug 22, 2026 @ 19:38:51.848",bbcf9f5905c6e78dbdbb41469e94175c,https://www.glossy.co/fashion/the-playoffs-are-over-the-knicks-fashion-opportunity-is-just-beginning/,Glossy Pop Newsletter: The playoffs are over — the Knicks fashion opportunity is just beginning,"The Knicks mounted another comeback, in the closing minutes of Game 5. The streets of NYC erupted — and so did the retail opportunity.",Sara Spruch-Feiner,2026-06-19T04:00:00+00:00,,https://www.glossy.co/wp-content/uploads/sites/4/2026/06/Screenshot-2026-06-18-at-9.36.42-PM.png
