product_name,list_price,selling_price,discount_percentage,size,color,description,sku
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
U.S. Polo ASSN. Women's Cotton Regular Fit T-Shirt,,,0,,,,
U.S. Polo ASSN. Women's Cotton Regular Fit T-Shirt,,,0,,,,
CHKOKKO Oversized Round Neck Drop Shoulder Printed Polyester Half Sleeves T-Shirt for Women,,,0,,,"These CHKOKKO Round neck solid-coloured T-shirts are stylish and attractive. Give Unique Collection to your wardrobe casuals. It has an attractive Round neck, half sleeves, and solid colour. It is a Regular Fit that is comfortable and stylish with a brand logo. It is fabricated with a unique mingle of Polyester Fabric. It has ultra-soft breathable, lightweight, and comfortable fabric. Attain ultimate comfort and royal status by wearing this amazing Round neck t-shirt initiated by CHKOKKO. This T-shirt is highly durable, light-felt comfort wear. It is accurate to wear in Yoga, tennis, Running, travelling or Outdoor Lifestyle. Team up these fashionable T-shirts with Track Pants and Lower or converse when you are planning for a day out with friends or travelling. You'll get an eye-catching scenario when you wear this t-shirt from your surroundings.",
,,,0,,,,
CHKOKKO Oversized Round Neck Drop Shoulder Printed Polyester Half Sleeves T-Shirt for Women,,,0,,,"These CHKOKKO Round neck solid-coloured T-shirts are stylish and attractive. Give Unique Collection to your wardrobe casuals. It has an attractive Round neck, half sleeves, and solid colour. It is a Regular Fit that is comfortable and stylish with a brand logo. It is fabricated with a unique mingle of Polyester Fabric. It has ultra-soft breathable, lightweight, and comfortable fabric. Attain ultimate comfort and royal status by wearing this amazing Round neck t-shirt initiated by CHKOKKO. This T-shirt is highly durable, light-felt comfort wear. It is accurate to wear in Yoga, tennis, Running, travelling or Outdoor Lifestyle. Team up these fashionable T-shirts with Track Pants and Lower or converse when you are planning for a day out with friends or travelling. You'll get an eye-catching scenario when you wear this t-shirt from your surroundings.",
CHKOKKO Oversized Round Neck Drop Shoulder Printed Polyester Half Sleeves T-Shirt for Women,,,0,,,,
CHKOKKO Oversized Round Neck Drop Shoulder Printed Polyester Half Sleeves T-Shirt for Women,,,0,,,"These CHKOKKO Round neck solid-coloured T-shirts are stylish and attractive. Give Unique Collection to your wardrobe casuals. It has an attractive Round neck, half sleeves, and solid colour. It is a Regular Fit that is comfortable and stylish with a brand logo. It is fabricated with a unique mingle of Polyester Fabric. It has ultra-soft breathable, lightweight, and comfortable fabric. Attain ultimate comfort and royal status by wearing this amazing Round neck t-shirt initiated by CHKOKKO. This T-shirt is highly durable, light-felt comfort wear. It is accurate to wear in Yoga, tennis, Running, travelling or Outdoor Lifestyle. Team up these fashionable T-shirts with Track Pants and Lower or converse when you are planning for a day out with friends or travelling. You'll get an eye-catching scenario when you wear this t-shirt from your surroundings.",
CHKOKKO Oversized Round Neck Drop Shoulder Printed Polyester Half Sleeves T-Shirt for Women,,,0,,,"These CHKOKKO Round neck solid-coloured T-shirts are stylish and attractive. Give Unique Collection to your wardrobe casuals. It has an attractive Round neck, half sleeves, and solid colour. It is a Regular Fit that is comfortable and stylish with a brand logo. It is fabricated with a unique mingle of Polyester Fabric. It has ultra-soft breathable, lightweight, and comfortable fabric. Attain ultimate comfort and royal status by wearing this amazing Round neck t-shirt initiated by CHKOKKO. This T-shirt is highly durable, light-felt comfort wear. It is accurate to wear in Yoga, tennis, Running, travelling or Outdoor Lifestyle. Team up these fashionable T-shirts with Track Pants and Lower or converse when you are planning for a day out with friends or travelling. You'll get an eye-catching scenario when you wear this t-shirt from your surroundings.",
CHKOKKO Oversized Round Neck Drop Shoulder Printed Polyester Half Sleeves T-Shirt for Women,,,0,,,"These CHKOKKO Round neck solid-coloured T-shirts are stylish and attractive. Give Unique Collection to your wardrobe casuals. It has an attractive Round neck, half sleeves, and solid colour. It is a Regular Fit that is comfortable and stylish with a brand logo. It is fabricated with a unique mingle of Polyester Fabric. It has ultra-soft breathable, lightweight, and comfortable fabric. Attain ultimate comfort and royal status by wearing this amazing Round neck t-shirt initiated by CHKOKKO. This T-shirt is highly durable, light-felt comfort wear. It is accurate to wear in Yoga, tennis, Running, travelling or Outdoor Lifestyle. Team up these fashionable T-shirts with Track Pants and Lower or converse when you are planning for a day out with friends or travelling. You'll get an eye-catching scenario when you wear this t-shirt from your surroundings.",
