crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:56:19.728",de2552c893e57aeb646625d53323061e,https://techcrunch.com/2026/02/26/so-were-getting-prada-meta-ai-glasses-right/,"So, we're getting Prada Meta AI glasses, right? | TechCrunch","Mark Zuckerberg was at Prada's fashion week event in Milan, leaving everyone to wonder if we're getting Meta AI glasses under the Prada brand.",Sarah Perez,2026-02-26T20:11:55+00:00,,https://techcrunch.com/wp-content/uploads/2024/09/zuck-meta.png?w=1200
"Aug 22, 2026 @ 19:56:19.812",3f71dec1b677dda9f80d840f88a50f1f,https://techcrunch.com/events/techcrunch-disrupt/,TechCrunch Disrupt 2026 - Overview,"TechCrunch Disrupt 2026 is the startup epicenter for tech and VC leaders. Taking place at Moscone West in San Francisco from October 13-15, 2026.","SVP, Devices, Alexa & Leo",2026-10-15,"SVP, Devices, Alexa & Leo Amazon What Comes After the Smartphone? Founder & CEO Rivian Building the Impossible CEO and Co-founder Flock AI, Surveillance, and the Future of Public Safety CEO and Co-founder Replit Everyone Can Build Software Now. What Happens Next? Founder & CEO Glean Rewriting SaaS: Why AI Breaks the Old Business Model","https://techcrunch.com/wp-content/uploads/2025/10/TC26_Disrupt_General_Article_Headers_1920x1080.png?resize=1200,675"
"Aug 22, 2026 @ 19:56:19.824",a158b80fb4481008ce673ca09fbbe436,https://techcrunch.com/events/techcrunch-disrupt/tickets/?utm_source=tc&utm_medium=post&utm_campaign=disrupt2026&utm_content=ticketsales&promo=augflash&display=TR,TechCrunch Disrupt 2026 - Tickets,"TechCrunch Disrupt 2026 is the startup epicenter for tech and VC leaders. Taking place at Moscone West in San Francisco from October 13-15, 2026.",,,,"https://techcrunch.com/wp-content/uploads/2025/10/TC26_Disrupt_General_Article_Headers_1920x1080.png?resize=1200,675"
"Aug 22, 2026 @ 19:56:19.838",612cbb9a8b2d8d502dc5576844edc15e,https://techcrunch.com/events/techcrunch-disrupt/tickets/?utm_source=tc&utm_medium=ad&utm_campaign=disrupt2026&utm_content=rb&promo=topbanner_rbend,TechCrunch Disrupt 2026 - Tickets,"TechCrunch Disrupt 2026 is the startup epicenter for tech and VC leaders. Taking place at Moscone West in San Francisco from October 13-15, 2026.",,,,"https://techcrunch.com/wp-content/uploads/2025/10/TC26_Disrupt_General_Article_Headers_1920x1080.png?resize=1200,675"
"Aug 22, 2026 @ 19:56:20.217",5252beb68405c430c7a1771b695abcb2,https://techcrunch.com/2026/06/23/halobraid-raises-7m-from-seven-seven-six-to-end-the-six-hour-hair-salon-appointment/,HaloBraid raises $7M from Seven Seven Six to end the six-hour hair salon appointment | TechCrunch,"HaloBraid aims to help salons speed up braiding with its first device, slated to launch later this year, that acts as a braiding assistant for professional stylists.",Dominic-Madori Davis,2026-06-23T15:09:38+00:00,,"https://techcrunch.com/wp-content/uploads/2026/06/HaloBraid.jpg?resize=1200,799"
"Aug 22, 2026 @ 19:56:20.253",d9bfee0130f19b70d37e2196e00fafb7,https://techcrunch.com/2026/02/14/designer-kate-barton-teams-up-with-ibm-and-fiducia-ai-for-a-nyfw-presentation/,Designer Kate Barton teams up with IBM and Fiducia AI for an NYFW presentation | TechCrunch,Designer Kate Barton teams up with Fiducia AI and IBM for a NYFW presentation.,Dominic-Madori Davis,2026-02-14T17:43:46+00:00,,"https://techcrunch.com/wp-content/uploads/2026/02/Kate-Barton-IBM.jpg?resize=1200,675"
"Aug 22, 2026 @ 19:56:20.271",c4935ec52675f2b490979e55290669be,https://techcrunch.com/2026/01/27/fashion-rental-app-by-rotation-and-uber-partner-to-help-deliver-ski-rentals/,Fashion rental app By Rotation and Uber partner to help deliver ski clothing | TechCrunch,"By Rotation, one of the U.K.’s most popular peer-to-peer fashion rental platforms, is partnering with Uber to deliver ski clothes.",Dominic-Madori Davis,2026-01-28T00:00:00+00:00,,"https://techcrunch.com/wp-content/uploads/2026/01/by-rotation-uber-.png?resize=800,1200"
"Aug 22, 2026 @ 19:56:20.284",fb8299a97284d1d83b978e881a5345ad,https://techcrunch.com/2026/02/14/clueless-inspired-app-alta-partners-with-brand-public-school-to-start-integrating-styling-tools-into-websites/,'Clueless' -inspired app Alta partners with brand Public School to start integrating styling tools into websites | TechCrunch,"This week, Alta unveiled its first integration collaboration, teaming up with Public School, a storied New York City brand.",Dominic-Madori Davis,2026-02-14T19:00:00+00:00,,"https://techcrunch.com/wp-content/uploads/2026/02/Alta.png?resize=1200,916"
"Aug 22, 2026 @ 19:56:20.659",870c5a227cc3066feeac8b02a97f5e0a,https://techcrunch.com/2025/11/13/in-defense-of-apples-230-iphone-sock/,In defense of Apple's $230 iPhone sock | TechCrunch,"From the same label that made the iconic Steve Jobs mockneck, the iPhone Pocket could be the next Labubu … if you have the disposable income.",Amanda Silberling,2025-11-13T17:38:22+00:00,,"https://techcrunch.com/wp-content/uploads/2025/11/Apple-iPhone-Pocket-and-ISSEY-MIYAKE-short-strap-colors_big.jpg.large_2x.jpg?resize=1200,900"
"Aug 22, 2026 @ 19:56:20.697",65ab5914c3519410f1d389410b0cbfe3,https://techcrunch.com/2025/10/17/vlge-is-making-it-easier-to-world-build-and-shop-on-roblox/,VLGE is making it easier to world build and shop on Roblox | TechCrunch,"Fifty fashion brands are launching their shoppable worlds for VLGE's World Fashion Week, founder Evelyn Mora says.",Dominic-Madori Davis,2025-10-17T12:30:00+00:00,,"https://techcrunch.com/wp-content/uploads/2025/10/VLGE-.jpg?resize=1200,800"
"Aug 22, 2026 @ 19:56:20.707",9f2f22c07d85e147f9664cab65d80e4e,https://techcrunch.com/2025/09/24/depop-launches-a-fashion-collaging-tool-to-style-pinterest-worthy-outfits/,Depop launches a fashion collaging tool to style Pinterest-worthy outfits | TechCrunch,Depop's new styling and collaging tool allows users to design curated outfits.,Lauren Forristal,2025-09-24T13:00:00+00:00,,https://techcrunch.com/wp-content/uploads/2025/09/Depop-Outfits-tool.jpg?w=1200
