crawl_timestamp,uniq_id,page_url,product_name,list_price,selling_price,discount_percentage,color,size,description,sku
"Aug 22, 2026 @ 20:45:03.775",9cbd76d7012cadf702e45177c70b2f6a,https://bonkerscorner.com/collections/t-shirts/products/wild-in-embroidered-premium-oversized-t-shirt,Wild-In Embroidered Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:03.824",ae6d3816ca97cc80a3fd6005b411c7f1,https://bonkerscorner.com/collections/t-shirts/products/love-hurts-embroidered-premium-oversized-t-shirt,Love Hurts Embroidered Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:03.896",60bb25c47ab91ac74e6e9bbb65d103f8,https://bonkerscorner.com/collections/t-shirts/products/purrfect-embroidered-premium-oversized-t-shirt,Purrfect Embroidered Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:03.939",307fce6eec993bfe47b6c505b96e8528,https://bonkerscorner.com/collections/t-shirts/products/signature-love-and-peace-premium-oversized-t-shirt-1,Signature Love And Peace Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:05.959",7e024514491738fc8b2af516be1ccede,https://bonkerscorner.com/collections/t-shirts/products/rise-to-power-premium-oversized-t-shirt,Rise To Power Premium Oversized T-Shirt,,,,,,Balanced softness and structure COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:06.001",0d42014dac5230f318e87da8aef0ae8b,https://bonkerscorner.com/collections/t-shirts/products/black-rise-to-power-premium-oversized-t-shirt,Black Rise To Power Premium Oversized T-shirt,,,,,,Balanced softness and structure COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:06.029",1d571a30350b8708f7e41eaf835f941b,https://bonkerscorner.com/collections/t-shirts/products/signature-love-and-peace-premium-oversized-t-shirt,Signature Love And Peace Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:06.232",36dd302ab8002b0b42f0be5f17236c54,https://bonkerscorner.com/products/signature-love-and-peace-premium-oversized-t-shirt-1,Signature Love And Peace Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:08.057",525f73e03cd9bedd71bf19c936f3b053,https://bonkerscorner.com/collections/t-shirts/products/love-and-peace-premium-oversized-t-shirt,Love And Peace Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:08.107",5940c52caaf110884d0b95cb2a1400e0,https://bonkerscorner.com/collections/t-shirts/products/sheep-me-embroidered-premium-oversized-t-shirt,Sheep Me Embroidered Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:08.150",4f21e0cf4165fec74a22319a26db3147,https://bonkerscorner.com/products/love-and-peace-premium-oversized-t-shirt-1,Love And Peace Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:08.212",307fce6eec993bfe47b6c505b96e8528,https://bonkerscorner.com/collections/t-shirts/products/signature-love-and-peace-premium-oversized-t-shirt-1,Signature Love And Peace Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:08.256",ae6d3816ca97cc80a3fd6005b411c7f1,https://bonkerscorner.com/collections/t-shirts/products/love-hurts-embroidered-premium-oversized-t-shirt,Love Hurts Embroidered Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
"Aug 22, 2026 @ 20:45:08.302",60bb25c47ab91ac74e6e9bbb65d103f8,https://bonkerscorner.com/collections/t-shirts/products/purrfect-embroidered-premium-oversized-t-shirt,Purrfect Embroidered Premium Oversized T-shirt,,,,,,More structure with everyday comfort COD available + prepaid savings Delivered within 4–7 working days Easy returns & exchanges within 15 days of delivery.,
