crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:39:59.282",4458f6975705b5c10dd7ac3cee0622e7,https://www.kantar.com/inspiration/brands/kantar-brandz-2025-ranking-reveals-the-worlds-most-valuable-brands,Charting 20 years of brand value: Kantar BrandZ 2025 ranking reveals the world’s most valuable brands,"Since 2006 over $9.3 trillion has been added to the Global Top 100, now valued at $10.7 trillion",,,,https://www.kantar.com/-/media/project/kantar/global/launch-assets_web---1500x1000.png
"Aug 22, 2026 @ 19:39:59.287",1a515121d14d8e29b6f8129cf0f6c0ba,https://www.kantar.com/inspiration/experience/the-experience-paradox,The Experience Paradox: Why Better Satisfaction Scores Don't Always Mean Growth,"​Most brands chase satisfaction metrics while missing what truly drives growth: Meaningful Difference. New research reveals why standing out matters more than scoring high, and how measuring experience is a better driver of growth.",,,,https://www.kantar.com/-/media/project/kantar/global/1500-x-1000-campaign-banner.png
"Aug 22, 2026 @ 19:39:59.291",73d5c39361793d41a4c396f83c401ac5,https://www.kantar.com/inspiration/brands/how-to-navigate-the-tariff-turmoil,How to navigate the tariff turmoil,"With potential tariffs causing huge economic uncertainty, business leaders can’t control the future - but they can put their best foot forward",,,,https://www.kantar.com/-/media/project/kantar/global/tariffs-fotor.png
"Aug 22, 2026 @ 19:39:59.295",24367d372af662ddd3eb4334b4c63b2a,https://www.kantar.com/inspiration/advertising-media/cannes-in-a-can-2026-four-signals-shaping-the-future-of-brand-growth,Cannes in a Can 2026: Four signals shaping the future of brand growth,The Cannes Lions 2026 festival highlighted how AI is reshaping marketing while affirming the enduring importance of brand fundamentals.,,,,https://www.kantar.com/-/media/project/kantar/global/cannes-lions-2026-recap.jpg
"Aug 22, 2026 @ 19:39:59.300",24367d372af662ddd3eb4334b4c63b2a,https://www.kantar.com/inspiration/advertising-media/cannes-in-a-can-2026-four-signals-shaping-the-future-of-brand-growth,Cannes in a Can 2026: Four signals shaping the future of brand growth,The Cannes Lions 2026 festival highlighted how AI is reshaping marketing while affirming the enduring importance of brand fundamentals.,,,,https://www.kantar.com/-/media/project/kantar/global/cannes-lions-2026-recap.jpg
"Aug 22, 2026 @ 19:39:59.342",d82a56d7efa8e1e53e6f799c1b63c77f,https://www.kantar.com/inspiration/ai/real-human-stories-at-scale-with-kantar-converser,Real human stories at scale with Kantar Converser,​Unlock deeper human understanding faster by pairing AI-moderated conversations with Kantar’s qualitative craft and expert oversight,,,,https://www.kantar.com/-/media/project/kantar/global/kantar-converser-article-image.png
"Aug 22, 2026 @ 19:39:59.343",d82a56d7efa8e1e53e6f799c1b63c77f,https://www.kantar.com/inspiration/ai/real-human-stories-at-scale-with-kantar-converser,Real human stories at scale with Kantar Converser,​Unlock deeper human understanding faster by pairing AI-moderated conversations with Kantar’s qualitative craft and expert oversight,,,,https://www.kantar.com/-/media/project/kantar/global/kantar-converser-article-image.png
"Aug 22, 2026 @ 19:39:59.353",4458f6975705b5c10dd7ac3cee0622e7,https://www.kantar.com/inspiration/brands/kantar-brandz-2025-ranking-reveals-the-worlds-most-valuable-brands,Charting 20 years of brand value: Kantar BrandZ 2025 ranking reveals the world’s most valuable brands,"Since 2006 over $9.3 trillion has been added to the Global Top 100, now valued at $10.7 trillion",,,,https://www.kantar.com/-/media/project/kantar/global/launch-assets_web---1500x1000.png
"Aug 22, 2026 @ 19:39:59.360",a3d4c9aee4af8cbcdda5d03e36679840,https://www.kantar.com/inspiration/webinars,Webinars and events from Kantar,"View a full list of all our previous and upcoming events, covering a wide range of topics and offering our high quality insights, data, and expertise. Sign up or watch on demand.",,,,https://www.kantar.com/-/media/project/kantar/global/articles/images/2020/webinars-kantar.jpg
"Aug 22, 2026 @ 19:39:59.366",1a515121d14d8e29b6f8129cf0f6c0ba,https://www.kantar.com/inspiration/experience/the-experience-paradox,The Experience Paradox: Why Better Satisfaction Scores Don't Always Mean Growth,"​Most brands chase satisfaction metrics while missing what truly drives growth: Meaningful Difference. New research reveals why standing out matters more than scoring high, and how measuring experience is a better driver of growth.",,,,https://www.kantar.com/-/media/project/kantar/global/1500-x-1000-campaign-banner.png
